t,l,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3175842437,31,05e800,10d800,1dc500,29b400,36a100,41a100,4ea000,59a100,66a000,719800,7e7300,8a5100,962e00,a20b00,9d000b,90001d,85002d,78003d,6c004f,530070,3b0091,2200b3,0b00d2,000ad9,001bc7,002eb7,003fa5,005197,006087,007377,008465
3178345562,31,04e900,11d700,1dc600,2ab300,35a200,42a000,4da100,59a000,65a100,729700,7d7400,8a5000,962f00,a30a00,9c000c,91001c,84002e,79003c,6b0050,540070,3a0092,2300b2,0b00d3,0009d8,001cc8,002db6,0040a6,005096,006188,007276,008566
3180847812,31,05e800,10d800,1dc500,29b400,36a100,41a100,4ea000,59a100,66a000,719800,7e7300,8a5100,962e00,a20b00,9d000b,90001d,85002d,78003d,6c004f,530070,3b0091,2200b3,0b00d2,000ad9,001bc7,002eb7,003fa5,005197,006087,007377,008465
3183355750,31,06e700,13d400,1fc300,2cb000,37a100,43a000,4ea100,5ba000,67a100,749100,7f7000,8c4c00,982900,a50500,9a000f,90001e,83002f,77003f,680054,500075,370097,2000b6,0600d9,000cd5,001fc5,0030b4,0041a5,005195,006485,007573,008863
3185868937,31,06e600,12d500,1fc200,2bb100,38a000,42a100,4fa000,5ba100,68a000,739200,7f6f00,8b4d00,982800,a40600,9b000e,8f001f,84002e,760040,690053,4f0076,380096,1f00b7,0700d8,000dd6,001ec4,0031b5,0040a4,005296,006384,007674,008762
3188365187,31,06e700,13d400,1fc300,2cb000,37a100,43a000,4ea100,5ba000,67a100,749100,7f7000,8c4c00,982900,a50500,9a000f,90001e,83002f,77003f,680054,500075,370097,2000b6,0600d9,000cd5,001fc5,0030b4,0041a5,005195,006485,007573,008863
3190872375,31,06e600,12d500,1fc200,2bb100,38a000,42a100,4fa000,5ba100,68a000,739200,7f6f00,8b4d00,982800,a40600,9b000e,8f001f,84002e,760040,690053,4f0076,380096,1f00b7,0700d8,000dd6,001ec4,0031b5,0040a4,005296,006384,007674,008762
3193380375,31,06e600,12d500,1fc200,2bb100,38a000,42a100,4fa000,5ba100,68a000,739200,7f6f00,8b4d00,982800,a40600,9b000e,8f001f,84002e,760040,690053,4f0076,380096,1f00b7,0700d8,000dd6,001ec4,0031b5,0040a4,005296,006384,007674,008762
3195885750,31,06e600,12d500,1fc200,2bb100,38a000,42a100,4fa000,5ba100,68a000,739200,7f6f00,8b4d00,982800,a40600,9b000e,8f001f,84002e,760040,690053,4f0076,380096,1f00b7,0700d8,000dd6,001ec4,0031b5,0040a4,005296,006384,007674,008762
3198388000,31,06e700,13d400,1fc300,2cb000,37a100,43a000,4ea100,5ba000,67a100,749100,7f7000,8c4c00,982900,a50500,9a000f,90001e,83002f,77003f,680054,500075,370097,2000b6,0600d9,000cd5,001fc5,0030b4,0041a5,005195,006485,007573,008863
3200895250,31,06e600,12d500,1fc200,2bb100,38a000,42a100,4fa000,5ba100,68a000,739200,7f6f00,8b4d00,982800,a40600,9b000e,8f001f,84002e,760040,690053,4f0076,380096,1f00b7,0700d8,000dd6,001ec4,0031b5,0040a4,005296,006384,007674,008762
3203404375,31,06e700,13d400,1fc300,2cb000,37a100,43a000,4ea100,5ba000,67a100,749100,7f7000,8c4c00,982900,a50500,9a000f,90001e,83002f,77003f,680054,500075,370097,2000b6,0600d9,000cd5,001fc5,0030b4,0041a5,005195,006485,007573,008863
3205911875,31,06e600,12d500,1fc200,2bb100,38a000,42a100,4fa000,5ba100,68a000,739200,7f6f00,8b4d00,982800,a40600,9b000e,8f001f,84002e,760040,690053,4f0076,380096,1f00b7,0700d8,000dd6,001ec4,0031b5,0040a4,005296,006384,007674,008762
3208419562,31,06e700,13d400,1fc300,2cb000,37a100,43a000,4ea100,5ba000,67a100,749100,7f7000,8c4c00,982900,a50500,9a000f,90001e,83002f,77003f,680054,500075,370097,2000b6,0600d9,000cd5,001fc5,0030b4,0041a5,005195,006485,007573,008863
3210926750,31,06e600,12d500,1fc200,2bb100,38a000,42a100,4fa000,5ba100,68a000,739200,7f6f00,8b4d00,982800,a40600,9b000e,8f001f,84002e,760040,690053,4f0076,380096,1f00b7,0700d8,000dd6,001ec4,0031b5,0040a4,005296,006384,007674,008762
3213435875,31,06e600,12d500,1fc200,2bb100,38a000,42a100,4fa000,5ba100,68a000,739200,7f6f00,8b4d00,982800,a40600,9b000e,8f001f,84002e,760040,690053,4f0076,380096,1f00b7,0700d8,000dd6,001ec4,0031b5,0040a4,005296,006384,007674,008762
3215932187,31,06e600,12d500,1fc200,2bb100,38a000,42a100,4fa000,5ba100,68a000,739200,7f6f00,8b4d00,982800,a40600,9b000e,8f001f,84002e,760040,690053,4f0076,380096,1f00b7,0700d8,000dd6,001ec4,0031b5,0040a4,005296,006384,007674,008762
3218438500,31,06e700,13d400,1fc300,2cb000,37a100,43a000,4ea100,5ba000,67a100,749100,7f7000,8c4c00,982900,a50500,9a000f,90001e,83002f,77003f,680054,500075,370097,2000b6,0600d9,000cd5,001fc5,0030b4,0041a5,005195,006485,007573,008863
3220940187,31,08e300,14d200,21c000,2cb000,38a000,44a100,51a000,5da100,69a000,748e00,816a00,8d4700,9a2300,a50000,9a000f,8d0020,810030,740042,640059,4c007a,35009a,1b00bd,0400dd,0010d3,0020c3,0032b3,0043a1,005593,006681,007971,008960
